nif_declarante,nif_contraparte,importe,is_circular
R0007814F,U0076539E,46931,False
H0031848W,V0098204G,79668,False
V0039337D,Q0037762M,43340,False
F0020563B,B0051480Z,20487,False
J0007324M,R0007539H,64918,False
A0049671K,V0047407X,82641,False
F0091457Y,S0062062C,14506,False
V0033433B,B0088241H,47662,False
W0074244Q,Q0054432T,1817,False
C0008645H,N0081279Z,100665,False
Q0082991N,N0031882E,295816,False
Q0010316Q,J0036404Y,68373,False
V0001278F,D0057133N,6577,False
P0031191V,D0039343N,11822,False
P0022810V,W0018674G,14049,False
C0090032Y,B0001118C,214079,False
N0047498J,H0000389M,26823,False
F0011372C,A0096935Y,5176,False
H0013312F,N0021513W,1514,False
J0049160D,G0023025J,39188,False
B0042067M,F0080526N,4157,False
D0043579F,H0021402B,120705,False
U0068778Z,C0061032T,12940,False
V0051151M,B0017069J,10096,False
G0092261K,S0040382C,5017,False
V0061997B,B0051486X,59234,False
F0005323N,B0059088B,43896,False
Q0016764R,P0022666J,35879,False
B0095016J,F0046577Q,47020,False
E0020474L,D0097797V,4828,False
N0016169E,J0057610Z,11239,False
N0030641V,R0072004C,9438,False
Q0039879Y,J0066781C,19052,False
J0060749Y,H0011941L,28041,False
S0045913T,V0024479R,64381,False
C0006925Q,D0005845J,23911,False
E0096620T,J0082451B,112800,False
Q0029686G,B0076697E,23706,False
W0021476X,E0058732N,52858,False
U0058460E,P0045121X,52706,False
R0008808Y,V0054736N,112976,False
P0077428H,U0005675F,16469,False
W0007526F,U0077534T,5924,False
P0061988K,E0019346X,10611,False
J0045685E,C0043646C,31609,False
J0088558C,A0031969E,7999,False
B0070689M,S0012094J,21643,False
B0074604D,P0048361P,61762,False
W0039431C,V0015774V,21136,False
F0012414Z,S0051515B,24392,False
H0063631Q,V0071374H,51120,False
B0007132E,R0052270A,14546,False
G0051752G,J0044062W,28548,False
B0037788Z,P0078155Y,41070,False
P0071568K,A0022533M,6608,False
E0016051T,J0097846L,48315,False
E0083579Z,R0087720N,56396,False
R0071275A,N0095163A,7174,False
G0083743N,R0052319E,56072,False
V0092932A,A0087506B,33597,False
R0030981L,J0049772S,23392,False
C0016770R,H0001845D,11235,False
V0076934E,W0038600G,16453,False
G0037719F,E0061389X,29947,False
A0023621F,Q0025048G,20759,False
H0091092R,R0043926Z,23081,False
G0041884G,B0041234W,16996,False
H0086074Y,V0081146S,14798,False
G0066216H,G0053472R,54935,False
R0093316H,P0000251C,18365,False
N0064390H,F0074113X,9826,False
J0019540T,H0025042R,23859,False
N0091219E,C0064031K,10421,False
S0049744T,G0035077T,71518,False
B0016103C,S0068357Z,7089,False
E0043205F,W0058235A,28865,False
R0051143T,Q0036802S,15291,False
B0008589H,N0096305T,30211,False
E0051298G,E0051863L,12162,False
B0057000Y,P0090588Y,17350,False
G0078462M,B0081604A,26860,False
H0015035P,B0038380S,7401,False
S0022435H,E0031820T,4500,False
S0050007G,P0056872L,33135,False
D0055586F,C0076347C,85270,False
Q0097486C,V0006375T,40881,False
C0083151E,R0038882Q,42900,False
J0077552C,U0027791V,44419,False
V0068847F,Q0045181H,28750,False
C0028424K,J0069341C,47922,False
V0083674J,G0004526A,17854,False
V0025732K,S0097382B,11165,False
E0019615A,H0001109B,23845,False
H0067518X,W0002826C,16520,False
G0048051B,U0077425E,15280,False
R0073123M,R0077211L,7134,False
S0058685V,G0028072P,10282,False
Q0088056B,F0040064D,46623,False
D0086622H,P0022155K,13375,False
J0062986Q,B0037195H,5183,False
P0032410K,U0034893Y,8518,False
V0034629X,W0035192D,13917,False
P0083523Q,W0008375P,30637,False
N0074426Y,E0080601T,155120,False
B0027840Z,R0064551M,3537,False
Q0058371B,J0099226B,102558,False
A0081658C,B0019455S,14699,False
J0048926Q,S0041814S,18973,False
U0089260L,P0076847P,23165,False
A0021054C,C0098530C,33948,False
J0066366P,D0047979K,40310,False
G0059814R,D0012001X,21180,False
F0016807R,V0035287B,91526,False
D0072012S,W0040794Q,42046,False
J0035093S,F0089021F,31215,False
G0047516V,D0039317L,6819,False
E0081243X,D0032894N,10237,False
E0050319D,C0043677D,15505,False
F0032007R,E0023022K,19043,False
F0045461V,Q0055739G,37112,False
C0093036Q,H0000841N,22730,False
E0089739Q,J0018410K,18735,False
V0081224X,U0004292L,6604,False
J0010950P,A0080539V,23797,False
W0076316J,A0081093Z,24990,False
Q0050954W,W0072985A,12019,False
Q0074723C,Q0078390Q,8657,False
P0024519R,E0090887Q,22240,False
A0066019C,A0034034M,3423,False
V0038862K,J0043683T,337809,False
B0087297N,W0039345D,63948,False
E0095218Z,Q0098363R,54787,False
S0055805R,E0007274T,24760,False
Q0042567W,W0080878H,128987,False
G0079589W,U0009500M,15565,False
D0074990B,V0065947X,15206,False
G0075727W,G0075748K,11252,False
D0063805W,N0084122F,24758,False
H0082242Q,D0024113B,1773,False
B0088039K,G0046816N,6652,False
N0061753J,R0071448W,71053,False
P0098695B,D0092899C,36815,False
B0077799Y,N0063699A,22948,False
P0070468M,S0008598A,15707,False
A0019706W,C0009532X,4554,False
U0047477W,H0002374S,219253,False
H0098186K,N0022961V,7175,False
G0004015K,V0087866N,3323,False
N0026691E,N0001155Z,24011,False
N0063632D,B0052460E,8584,False
S0049472Z,B0038067H,16081,False
U0032664C,J0077723K,4240,False
H0063731R,A0046043G,67671,False
J0096404F,G0050525B,11078,False
V0056734N,E0086130X,137636,False
N0071169Y,E0046450S,23542,False
D0011871T,H0060729J,41821,False
R0015239Q,W0012507L,6131,False
B0048707W,W0051465P,157431,False
W0069848K,Q0040851D,4463,False
V0034629X,D0094094J,12626,False
J0040431G,V0026128B,67984,False
V0018923V,N0036474G,16115,False
E0081330N,D0062496A,18047,False
S0032257R,E0016532E,2756,False
A0091506E,D0066903F,6740,False
B0097319V,Q0008827D,23007,False
U0055949E,Q0025488Z,4058,False
P0073641T,C0028875G,39164,False
N0001088H,S0084383N,228863,False
U0014078V,Q0061110V,64275,False
W0071017C,S0067962F,115485,False
J0002871F,F0047869H,12852,False
H0052908K,A0024306Q,61203,False
R0097255A,F0089215Q,67929,False
W0017625C,V0072736B,14825,False
Q0043450G,S0096714N,22468,False
H0070640X,B0051051L,7572,False
N0028056V,B0087893T,54710,False
W0067331W,V0086083X,19895,False
R0001030M,S0000293N,24926,False
F0043084X,Q0067849X,151295,False
N0002490T,N0012806A,12303,False
S0066619P,N0069318J,60326,False
C0001456V,V0022115W,9747,False
F0040513T,D0050071P,51034,False
H0069902N,J0003400S,7496,False
V0042716Z,D0068125Y,24100,False
F0011447V,U0065696T,7181,False
R0067854Y,N0045027A,24848,False
H0065855C,A0043118Z,51043,False
F0023631C,J0055460S,3239,False
G0060226M,C0084095B,43625,False
D0051723N,Q0051065D,4626,False
U0008372X,C0040347D,19813,False
U0027306X,R0058817B,2330,False
B0057726W,U0093560J,3030,False
S0022702W,W0099039Q,27755,False
N0046621T,S0067036E,9073,False
E0092272K,S0052440Y,42503,False
H0094198S,R0041466L,23001,False
H0025561D,F0004357H,16509,False
G0015079W,D0076029E,27821,False
F0008706V,R0062956N,34469,False
H0067518X,G0026538V,25708,False
U0062222Y,D0095310K,7927,False
R0030893A,R0007649S,86774,False
P0007870W,N0036090Q,14985,False
C0023956P,S0021962L,29887,False
Q0035613M,G0002975Q,7863,False
S0089706T,B0091853A,20991,False
S0067222C,G0037510W,8997,False
R0042233P,H0071186Q,38546,False
Q0062635C,Q0083133A,24572,False
A0025100J,F0010609L,20757,False
S0092741D,V0099050A,29049,False
W0070852F,V0046873B,33407,False
H0056784S,S0071316D,32875,False
J0023151D,H0054041Y,62425,False
E0047489M,J0009113K,18294,False
H0038833J,E0023746D,10425,False
P0045606S,A0021264D,7739,False
J0003400S,Q0038251M,14713,False
A0084547L,U0061346T,78119,False
V0031299W,V0067138Y,475096,False
V0005797B,R0059349X,20864,False
W0059498L,F0055647G,21843,False
P0041346E,S0098529F,20856,False
Q0000868C,G0019338M,13346,False
U0043705L,V0020278L,91688,False
N0067396K,N0059303J,23083,False
S0068100E,G0031111H,9987,False
B0059012C,E0095237W,21248,False
A0039617T,C0059609F,6083,False
N0062813M,B0009257F,8463,False
D0060310W,U0054402L,2370,False
H0074300X,F0022350W,76861,False
S0016152Z,C0050688S,15480,False
P0043202Q,R0065909G,8678,False
F0052830B,U0022081R,2323,False
A0083647C,Q0083411V,35757,False
V0048094M,R0016571X,52299,False
A0087376X,U0003430V,10821,False
R0057247W,Q0065427V,19046,False
Q0035475W,U0054687V,19999,False
H0067181H,F0083396F,6929,False
A0026705S,U0073747X,38553,False
N0009783V,F0001016R,20312,False
B0066454X,N0005091T,2959,False
B0026112E,A0024199P,3394,False
F0011952A,N0037832Y,8714,False
W0004268S,U0026753G,69522,False
Q0087013E,E0071637R,30615,False
C0084984F,N0092550X,34137,False
Q0098896D,Q0044859F,14844,False
U0032994F,D0024778X,2911,False
J0014230T,G0084816P,8037,False
C0022998R,B0006784T,157695,False
F0005071P,P0029092F,20834,False
S0086329B,Q0035249P,62486,False
C0069929J,V0020904J,18018,False
G0097099A,U0097632Q,59048,False
H0041956A,W0057733K,11470,False
B0076087Q,V0010065S,5309,False
P0053447Z,R0038540C,33191,False
B0046455R,H0044566Y,25186,False
F0011932V,Q0022128Q,10795,False
P0023649H,E0099076P,14908,False
B0026245T,B0090855P,21571,False
S0099985R,E0025490S,30360,False
U0030521R,J0019015J,12490,False
R0032363B,J0045368J,25054,False
P0078093M,D0030027N,4611,False
C0089059A,J0075274T,7276,False
U0003176G,Q0094828B,43767,False
P0004688N,V0062762M,8395,False
B0026562M,S0089384Y,75716,False
Q0000162C,F0073848N,14699,False
H0096062N,P0093871W,5124,False
C0058746G,P0049456T,11612,False
W0012124Q,V0002388Y,45209,False
N0040295K,U0021004A,6577,False
V0040778Y,D0065359G,28097,False
D0087010L,Q0018017W,6595,False
P0045717W,C0069722X,27720,False
A0051238D,W0030101X,22412,False
V0023404N,N0039583J,20557,False
E0075094Z,U0001532C,14971,False
B0022543P,A0023802P,51230,False
F0024711A,H0061932R,9071,False
W0029137V,U0030534F,7392,False
U0020108P,Q0081353G,17664,False
B0091163Q,F0018209P,5798,False
D0050306Q,N0041188A,13811,False
S0067658H,V0033353Z,5597,False
Q0074195M,J0023705C,60200,False
J0057104E,U0063768B,23266,False
Q0035132V,H0014064R,284535,False
G0082703Z,J0000036Z,15364,False
G0057304N,Q0019141H,14619,False
V0095694P,S0093250E,13355,False
P0061026X,Q0060709X,4546,False
B0015254V,J0048912C,6318,False
G0063335P,B0095937Q,16771,False
A0012854M,V0020978Q,4641,False
P0010432Q,U0040569G,43296,False
Q0007484Y,D0075128W,15362,False
S0077884S,N0056944P,196832,False
E0068509Q,E0019346X,93342,False
V0092310X,W0049101Z,4073,False
S0098568K,U0075175E,10795,False
J0081245F,Q0089286M,8640,False
A0042159C,V0002660G,68402,False
D0073951T,B0073539X,13672,False
F0081218S,D0056131M,74852,False
R0075630C,C0020975B,12242,False
Q0050920F,V0018869E,15598,False
E0076944J,C0043323J,53282,False
G0078029B,C0015249C,52056,False
S0053923E,Q0026936P,128278,False
C0062030P,Q0092294J,213066,False
D0011329X,S0078017K,8692,False
H0039707E,N0035780P,30943,False
P0020369Y,V0093810D,12249,False
H0017213Z,A0021652G,61565,False
J0051678G,U0017746G,29113,False
V0076550F,C0075473X,7922,False
B0052314Z,V0023488Q,47235,False
U0002322L,G0028296R,37200,False
J0081934M,G0009074F,20703,False
B0002959G,G0057289X,3343,False
F0025177Y,R0013231M,40496,False
V0000110P,H0063018C,12881,False
U0016777P,W0093010S,46334,False
H0087503F,W0084200R,19595,False
F0077482B,Q0080492E,19132,False
G0053106K,E0064714M,8553,False
J0063324M,P0062029V,33977,False
F0053426A,R0000891T,36190,False
G0021260E,Q0047520Y,47882,False
V0005186Y,V0079704Q,7855,False
B0068233A,H0024740Y,17090,False
H0082777D,P0081672H,44200,False
E0043946Q,U0078239W,38723,False
S0031348X,G0051319P,84500,False
F0063114Y,C0094711F,26110,False
W0051718V,W0051146W,13904,False
J0010218E,B0059384S,63002,False
S0083529G,N0087577D,24317,False
J0096427B,S0073417R,49409,False
W0018504D,N0047013R,8453,False
U0066143X,F0049241Q,12366,False
W0011028C,V0010492J,71649,False
F0044051P,W0099508R,62723,False
B0028898L,B0079321G,13455,False
N0013299C,N0028880S,14910,False
V0071357R,H0075899B,11222,False
W0095789J,S0036560Y,14900,False
V0031950Z,U0023408S,15259,False
C0069167Y,D0001710C,30280,False
G0004887S,J0007879G,65423,False
C0065277H,E0042907G,11476,False
U0084182B,B0046859Z,67662,False
S0060093A,B0028484K,7487,False
P0035936J,B0043338T,61774,False
S0025454Z,V0054629D,26264,False
U0047021Z,G0073818X,17621,False
D0060104R,J0000541Q,273111,False
N0049886H,H0077809Q,13765,False
J0078190K,S0072569D,14911,False
R0029868M,A0005863Y,19892,False
G0090370D,U0012526X,45549,False
S0033052Q,P0036822M,3752,False
J0096310K,U0084450Z,17318,False
F0029647W,W0066248R,47833,False
A0063609D,N0073280D,9383,False
A0092212H,V0084937X,64332,False
S0004164D,A0075212V,105180,False
B0004951V,D0084032T,10903,False
V0003269T,B0048103W,86680,False
U0056093C,Q0058925M,15400,False
A0022893J,C0034282R,24151,False
H0023718W,N0052587Y,43805,False
E0005724L,V0072893B,70157,False
F0010696V,S0045502E,12757,False
U0001709J,J0066781C,31671,False
H0010100V,A0058134R,5084,False
P0007028S,G0047790B,9662,False
G0065515X,U0029821H,11918,False
H0038388V,W0016931W,73573,False
D0069600M,U0047477W,26136,False
G0049779V,R0094880H,38181,False
R0027719Q,S0072380C,41214,False
B0008589H,A0002860L,57222,False
E0083855F,D0000382T,28953,False
R0015293T,J0038434L,14406,False
J0009393N,D0079511J,55351,False
C0047951R,P0015058K,58707,False
C0014903M,D0036369K,46587,False
D0016640N,H0022117G,12256,False
Q0063212H,C0085380V,7879,False
A0002262X,V0032315Y,46931,False
E0092027V,Q0084701D,11003,False
J0006689V,N0003617V,79364,False
F0052538D,J0003312J,23611,False
H0064124E,R0016471G,21418,False
S0020006W,U0056549M,27083,False
Q0073618A,D0019426K,11457,False
B0093401K,B0025956A,15240,False
S0020732G,W0005637F,7506,False
R0024245V,Q0043624A,1792,False
Q0074278C,N0073315S,29573,False
F0062555C,U0004840Y,7599,False
C0091909P,P0049814K,9807,False
N0004863P,F0088975F,15358,False
U0049459N,B0087741R,59215,False
C0017180W,G0006967M,48225,False
J0053045X,J0052299J,50822,False
U0033931G,S0048470Q,2184,False
E0007683Q,H0080847M,76358,False
S0096000V,U0040009Z,67399,False
B0085990D,R0021037Y,16337,False
U0020475F,N0046648M,18059,False
U0002166Y,B0069104P,16049,False
G0036414W,P0028118M,7334,False
D0084899M,Q0049905Q,26714,False
R0050840X,D0077568B,2395,False
R0099732T,D0034291E,2267,False
H0094140E,W0072124H,3767,False
C0031620C,C0027051X,33233,False
S0062801S,W0011982P,138962,False
H0074127F,W0040013L,36381,False
G0077813W,G0039460G,83721,False
S0052138R,G0033245L,12824,False
F0049164K,E0055065Q,52264,False
D0039384E,H0033059X,13460,False
R0053247H,B0072664Z,1788,False
N0067867Z,Q0080162X,11875,False
G0000388K,E0097970H,21264,False
C0054727H,C0081775N,2283,False
P0097835V,E0038173Q,49514,False
D0089800M,R0063270J,1800,False
D0027869R,V0044471P,13732,False
S0080404B,E0087671W,52400,False
V0048513H,N0036219L,76661,False
B0019063K,R0023566T,2124,False
N0032797B,V0091637L,71087,False
D0065699Y,R0021561P,18245,False
A0035152Z,F0021869Q,27274,False
S0010297S,S0005427L,40750,False
J0045346K,R0036259Z,28422,False
P0008118P,D0099470H,24323,False
G0080477F,D0038613M,27510,False
Q0007235G,F0010858Q,11808,False
E0087619P,U0075482G,25431,False
N0076606S,A0038138F,15971,False
W0042515R,G0080882T,14715,False
H0081302J,W0072834W,10321,False
R0047798S,H0008215V,111422,False
J0096639G,P0074663A,13836,False
P0084185K,B0084969A,10180,False
B0043290W,J0098629Q,190817,False
C0068004C,F0002809R,16359,False
H0029024J,A0053511L,101767,False
J0079638A,J0056977S,8052,False
P0092934Y,P0062544R,1487,False
H0031401F,V0002108D,3447,False
P0003977H,G0018678L,32071,False
N0043622V,B0023283P,21294,False
H0047411W,E0099726K,3770,False
E0077098J,S0084921R,14083,False
P0074760W,W0087876A,18121,False
Q0065651V,N0087691V,17824,False
F0092923S,S0086329B,130969,False
J0066616C,C0002917T,8437,False
P0001083T,U0003130W,12621,False
R0067646R,F0022981K,23295,False
G0074485W,S0036571Q,87643,False
P0038315S,R0058385N,10452,False
H0027688P,P0081221Q,7721,False
B0092341Y,C0031895X,8899,False
N0066172Q,S0021380H,33525,False
S0065952L,U0072131F,5654,False
A0042241E,Q0060102M,36583,False
V0046049M,U0007644K,42160,False
U0019250K,Q0097552B,35395,False
V0084767Y,B0084893L,112953,False
S0072187C,W0015509P,29821,False
C0080982R,R0094886K,91517,False
U0054393L,V0024000T,7385,False
U0081164Y,V0006489T,16382,False
C0086122R,Q0019088L,62649,False
B0031315N,R0049646Y,24402,False
C0096466P,N0063927L,6107,False
E0095810X,F0018209P,10878,False
A0094187P,F0053474T,7221,False
P0091883Z,Q0037448L,11914,False
E0010207J,D0067978L,37397,False
U0045695S,W0017886H,26928,False
D0051337P,F0089863J,5626,False
S0040660R,D0050306Q,31002,False
V0061655F,U0002720T,46222,False
A0086556Z,H0088589A,96251,False
F0057426Q,S0076161S,14635,False
N0075890P,N0061015Y,7021,False
F0031607G,A0066006T,65301,False
J0062916P,S0016115R,21872,False
Q0000895B,N0017654Z,33506,False
C0015543Z,Q0034468E,7305,False
Q0084172F,F0009929B,5275,False
A0095177W,E0089325C,37477,False
V0013947T,W0035862V,1859,False
J0014559F,Q0097863J,51195,False
E0097610X,B0077278R,27369,False
P0036176S,C0079607G,38444,False
Q0093739Y,A0063577J,30322,False
D0058854A,G0028296R,15306,False
N0032790T,A0097000G,23267,False
G0059052V,V0035786X,11439,False
S0095963W,C0034072N,4672,False
Q0021426F,F0023762L,81970,False
U0041263Z,B0035193H,7259,False
W0089689Y,C0047587F,30580,False
P0066777D,G0012466Q,20081,False
N0010873H,V0086539A,10234,False
H0075441Q,W0077005H,11978,False
A0064630N,E0085912K,7581,False
H0088919V,V0053615G,37989,False
A0041314D,Q0027802R,16299,False
H0097823X,V0074568W,84969,False
C0062754G,R0043129T,20128,False
R0084320W,F0093700A,11454,False
E0079976B,B0025612T,10751,False
H0088614N,D0087985B,15453,False
G0027832W,S0075353N,82846,False
V0048721K,J0017887S,20654,False
S0091671S,D0006232S,88283,False
J0046028D,U0025215L,14305,False
D0076411X,U0033656K,7880,False
R0093341R,B0015033P,2029,False
F0077461G,P0058829D,15964,False
J0082805C,A0016217B,6097,False
W0034487W,V0049981D,9660,False
N0095104W,F0078063A,213781,False
W0028454W,N0081119X,28519,False
E0076726K,D0039519H,2545,False
F0097574A,V0022264G,18984,False
U0073477R,S0097549E,3695,False
H0070005H,N0017211V,16325,False
A0034255R,J0054914N,32618,False
J0077896A,U0048542W,11924,False
W0072239W,W0092997B,148437,False
V0092353S,F0003772T,16198,False
H0016542H,Q0064486B,70715,False
P0056059E,V0099869T,65997,False
N0068143S,C0001750J,6256,False
F0078692M,C0071715F,60924,False
F0025742V,S0047696T,68538,False
F0051099S,B0041754X,23003,False
H0031019J,G0099198K,108758,False
A0022001E,S0089599W,35592,False
F0005506Z,D0068307Y,36447,False
D0097603S,Q0045670H,4675,False
A0057249W,R0030717K,8386,False
A0091645H,R0018286S,20010,False
V0003952D,A0005748K,41230,False
V0061663Y,C0043010G,27840,False
C0090013Y,Q0021945C,23566,False
D0025669K,F0021025Y,10191,False
W0034513V,P0075487Y,28366,False
D0067252V,U0019292H,27829,False
A0084846N,P0090753F,54067,False
J0089296M,B0098273N,139109,False
B0047398K,D0068305B,69965,False
C0062077C,S0095149Z,2076,False
S0030009M,W0052919F,43106,False
D0019445H,H0072431S,16021,False
N0088638M,S0039563G,14510,False
H0085910V,Q0050517Z,18416,False
J0082773M,G0073815Y,15351,False
H0081338F,A0079947M,39236,False
A0014390M,J0046829H,24706,False
S0074021E,C0082929L,3828,False
J0090242B,W0098407D,9815,False
B0046053B,V0076485C,61559,False
F0045802N,H0034881B,7191,False
U0094930N,U0033099Z,24011,False
C0046870N,P0084467K,34049,False
B0049261Y,A0042155N,19616,False
D0073615C,P0032997B,17524,False
N0082052F,Q0081950D,3517,False
N0058051W,A0088206Z,16987,False
F0062648B,H0059833G,24955,False
P0072846V,W0027513G,56515,False
D0060702V,Q0062024B,7236,False
V0048411A,G0039115X,16400,False
R0022951R,A0044346F,3829,False
C0077892B,S0028652K,6393,False
E0031509J,E0088616B,4432,False
R0053501P,E0011918Q,62203,False
B0048294R,U0044042Z,6291,False
H0068299N,U0014658J,37095,False
S0078290W,H0010622A,59757,False
G0055529Z,E0039998Z,10566,False
E0004476X,Q0092449K,24098,False
F0029730W,W0056449P,5650,False
Q0041416K,W0041648H,7010,False
S0064208C,P0013944E,80392,False
Q0016175R,N0051082D,31404,False
V0061061D,C0013417S,7785,False
E0047846S,A0065560Y,7028,False
P0039152S,J0064156D,10657,False
H0052747D,D0089752Q,43069,False
R0046177W,B0093798K,10878,False
N0022860S,R0041286M,70089,False
S0014483R,S0015650T,13669,False
S0078291R,R0087118P,66813,False
G0027046F,P0006511W,12802,False
C0047049F,B0031277S,53019,False
N0080638Z,V0081635N,13534,False
U0014168S,S0033219T,35175,False
W0095713C,B0003686R,4811,False
C0003121K,B0061863H,65942,False
W0036196T,P0083085C,32691,False
P0086963V,C0083940S,17059,False
Q0039880P,A0061105V,23638,False
H0098148N,W0019438S,11788,False
J0079246Z,A0088610C,20854,False
F0045724S,P0045096R,18021,False
U0062703D,B0034125F,17665,False
B0062402V,U0096570A,37248,False
N0003833P,N0011321P,38197,False
E0059962C,E0025136Z,37612,False
E0065295X,H0006087K,3187,False
U0066759H,R0091492W,3390,False
W0061475Z,J0077009Y,7042,False
B0038047P,G0021165A,72636,False
V0028841R,C0003800K,94522,False
H0071199L,Q0037385D,8109,False
P0000775Z,N0063844S,19229,False
N0019575Y,U0027968B,92837,False
A0051559P,R0002679A,83711,False
W0035894A,H0005858F,6982,False
A0001537C,Q0085873V,100788,False
J0054493Z,H0010941T,11198,False
R0035949V,B0050730K,3931,False
S0009007J,H0080805S,11784,False
S0041326B,F0057346Y,18734,False
P0007190A,G0049593P,27243,False
U0077385H,C0062457Q,7001,False
C0049392D,G0032447S,7893,False
S0080490M,S0075640H,10817,False
Q0022838F,V0041764T,22508,False
W0056717S,R0060143C,52296,False
B0027376M,V0054746T,23976,False
V0034829Q,C0074983L,56309,False
G0010690D,B0002462F,28680,False
W0076333Y,C0054627C,20055,False
Q0056579C,H0052454P,40405,False
N0054881H,P0024808H,29324,False
E0099301L,C0048230P,6166,False
D0096092Y,G0036717B,43668,False
W0047102J,D0034490A,44972,False
A0078570F,R0059968L,2143,False
Q0010751X,W0063203W,271226,False
C0061987J,V0050567N,14675,False
C0005038D,B0075946J,15095,False
V0063273W,Q0083239X,48697,False
D0037454M,R0079269Z,10313,False
B0014213V,V0087757W,32830,False
V0042292Y,A0053546G,49660,False
J0009696C,H0046136Z,11443,False
E0031049G,C0062230C,75689,False
H0018442S,N0098832K,31584,False
A0014344X,N0078779F,11495,False
R0022149V,F0066503B,57630,False
A0040179M,R0000588X,37835,False
P0021661B,F0098334V,7807,False
P0055895C,N0083018K,89115,False
P0078867N,C0033771K,8453,False
A0041360X,S0005123Y,2264,False
D0096538S,R0081448S,27250,False
H0028392T,R0079660W,18607,False
C0095848J,A0045618A,21529,False
U0062873H,S0087623N,14685,False
V0033712E,N0003187A,317571,False
J0047732A,J0044212A,14592,False
E0065574A,W0015885A,5008,False
E0004788G,W0032831X,25419,False
S0047155A,V0095488M,12995,False
N0036185P,S0015344L,32657,False
J0007562D,J0032808J,50059,False
G0059708V,D0035111H,7736,False
D0053215T,D0003813Z,9459,False
E0002718J,P0032924V,28619,False
E0062301V,E0041283W,9911,False
N0028226X,A0064265E,78779,False
Q0056929W,E0033827T,18429,False
U0018784R,F0058029J,10989,False
C0097499Y,V0030904L,3478,False
A0093971A,E0074754Z,7449,False
P0014641A,U0066342W,16470,False
S0051005J,Q0032379W,24644,False
U0019897P,D0059448L,12024,False
H0081267S,P0002387D,26399,False
E0071951Z,B0041297J,4851,False
B0020926T,E0016313B,2787,False
R0082252C,A0059545L,35041,False
W0022395D,S0077399A,39111,False
Q0081452V,R0085091G,49673,False
P0009038H,J0051525N,160315,False
G0049544J,V0049877X,23502,False
R0042210L,Q0027679Q,83873,False
C0004204L,B0020922H,12969,False
P0051936Y,F0023234V,28998,False
P0021317J,W0016745R,13032,False
E0019600C,H0059919W,29006,False
E0060602P,R0085792V,24279,False
C0070247Z,P0027170C,62239,False
