id,nif,nombre,tipo,sector_cnae
90,Q56309454,Óscar Casado Pascual S.A.,SANA,Transporte
91,V91095825,Comercializadora Españolas S.A.,SANA,Construccion
92,W28652010,Loreto Rey Machado S.Com.,SANA,Transporte
93,F40868838,Grupo Mateo S.L.N.E,SANA,Construccion
94,W96366021,Banco Amaya y asociados S.A.T.,SANA,Comercio
95,G30164926,Comercial Feliu S.L.,SANA,Tecnologia
96,F58616740,Talleres Araujo S.A.T.,SANA,Construccion
97,H65648506,Mateos & Asociados S.Coop.,SANA,Comercio
98,D74628070,Promociones XE S.Com.,SANA,Transporte
99,V38280205,Servicios Avanzadas S.L.,SANA,Tecnologia
100,S13012656,Distribuciones Ibéricos S.Com.,SANA,Tecnologia
101,B27164449,Francisco Javier Olivé Vendrell S.L.N.E,SANA,Tecnologia
102,E94495485,Familia Arenas S.Com.,SANA,Construccion
103,E17504382,Suministros Ibáñez S.L.N.E,SANA,Tecnologia
104,J34164229,Compañía Inteligentes S.A.,SANA,Transporte
105,A98817918,Instalaciones GJHP S.A.,SANA,Comercio
106,C39070676,Font & Asociados S.A.,SANA,Transporte
107,V74648438,Soluciones Carranza y asociados S.L.,SANA,Tecnologia
108,H65132193,Servicios Vilaplana & Asociados S.A.U,SANA,Tecnologia
109,F93646063,Hnos Arjona S.L.,FRAUDE_CARRUSEL,Comercio
110,F55992559,Fábrica Alegria S.Coop.,FRAUDE_MAQUILLAJE,Transporte
111,C40845084,Construcción Aguado S.C.P,SANA,Transporte
112,R27745355,Farmaceútica Mármol & Asociados S.A.,SANA,Construccion
113,A37158762,Grupo Paredes S.A.,SANA,Transporte
114,E91270313,Talleres Guijarro S.A.T.,SANA,Construccion
115,F73870080,Rafael Novoa Revilla S.L.N.E,SANA,Construccion
116,W25772785,Menendez & Asociados S.Coop.,SANA,Construccion
117,V98502178,Hnos Herrera S.L.L.,SANA,Tecnologia
118,A97138408,Alimentación Castellana S.L.L.,SANA,Transporte
119,W66463253,Borja & Asociados S.L.,SANA,Comercio
120,B81110769,Barrena y Vila S.L.U.,SANA,Transporte
121,H74709513,Supermercados JP S.L.N.E,SANA,Transporte
122,Q89060695,Viña y asociados S.L.N.E,SANA,Construccion
123,S27969486,Industrias Gutierrez S.Com.,SANA,Comercio
124,V41207351,Agudo & Asociados S.Com.,SANA,Construccion
125,N90301439,Guijarro y Gimeno S.Com.,SANA,Transporte
126,J35369971,Estevez & Asociados S.Com.,SANA,Construccion
127,A87576121,Naranjo y Gil S.L.L.,SANA,Construccion
128,W10965569,Peña y asociados S.L.,SANA,Transporte
129,G52399610,Marisa Viña Valderrama S.A.,FRAUDE_MAQUILLAJE,Transporte
130,Q24305357,Aitor Font Teruel S.A.,SANA,Tecnologia
131,S97453041,Inversiones del Levante S.L.N.E,SANA,Comercio
132,J81954780,Mármol y asociados S.L.,SANA,Transporte
133,Q92125234,Narváez y Riera S.L.,SANA,Comercio
134,R37339300,Supermercados Esparza S.A.,SANA,Transporte
135,V33987338,Dorotea Morante Arranz S.C.P,SANA,Comercio
136,V44061458,Ernesto Pelayo Mercader S.Com.,SANA,Comercio
137,Q63436070,Hnos Duarte S.L.,FRAUDE_CARRUSEL,Tecnologia
138,D40839382,Rodrigo & Asociados S.A.,SANA,Transporte
139,F23459168,Compañía AEL S.A.,SANA,Tecnologia
140,W63762374,Desiderio Ibarra Maestre S.L.,SANA,Comercio
141,B31573890,Construcción Arellano S.L.,SANA,Transporte
142,A22225702,Zamora y Guzman S.A.,SANA,Tecnologia
143,V90563579,Iniesta y asociados S.C.P,SANA,Transporte
144,C18600733,Familia Ibañez S.Coop.,FRAUDE_CARRUSEL,Comercio
145,H59772648,Ariadna Acuña Lastra S.L.U.,SANA,Construccion
146,B61583363,Banco HM S.Com.,SANA,Transporte
147,W48449249,Familia Dávila S.L.L.,SANA,Construccion
148,F95938445,Hnos Bolaños S.L.,SANA,Transporte
149,U11437525,Montalbán & Asociados S.L.U.,SANA,Tecnologia
150,W48387144,Isidoro Uribe Blanes S.Coop.,SANA,Tecnologia
151,B90465529,Briones y Sáenz S.L.,SANA,Tecnologia
152,F14840043,Hotel Ibérica S.L.,SANA,Comercio
153,H97915178,Madrigal y Expósito S.L.L.,SANA,Construccion
154,F21655844,Minería Ribas y asociados S.A.,SANA,Comercio
155,R57395992,Vidal y Nicolás S.L.,SANA,Transporte
156,R88662348,Supermercados Yáñez S.A.,SANA,Tecnologia
157,W12062459,Construcción Lopez S.C.P,SANA,Construccion
158,C83765077,Maite Garcés Cuesta S.L.L.,SANA,Comercio
159,Q56637316,Ariadna Alcaraz Morán S.Coop.,SANA,Comercio
160,H91384718,Elías y Querol S.L.N.E,SANA,Tecnologia
161,U64218119,Carolina Canales Sobrino S.L.,SANA,Construccion
162,J33492771,Ibáñez y Castrillo S.L.N.E,SANA,Transporte
163,W24289484,Manufacturas del Sur S.Coop.,SANA,Construccion
164,W49493811,Marcela Sanabria Conde S.A.,SANA,Comercio
165,D78892172,Garcia y Perales S.A.,SANA,Comercio
166,J69427400,Farmaceútica Vilaplana y asociados S.Com.,SANA,Transporte
167,V42651583,Familia Bernad S.L.,SANA,Comercio
168,U71836850,Comercializadora ILG S.L.L.,SANA,Construccion
169,V25605267,Costa & Asociados S.Com.,SANA,Comercio
170,C61361533,Hnos Ruano S.L.N.E,SANA,Tecnologia
171,H52376656,Clementina Cárdenas Osuna S.L.,SANA,Transporte
172,Q79324022,Batlle & Asociados S.L.N.E,SANA,Construccion
173,J43320572,Farmaceútica del Sur S.L.,SANA,Comercio
174,C63543563,Banco GGR S.Coop.,SANA,Comercio
175,C84430642,Compañía Boada S.Coop.,SANA,Tecnologia
176,V52127291,Inversiones del Noroeste S.Com.,FRAUDE_MAQUILLAJE,Comercio
177,G87002404,Casanovas & Asociados S.L.N.E,SANA,Comercio
178,F35523849,Familia Galán S.L.,SANA,Transporte
179,G41522559,Grupo Manuel S.A.,SANA,Tecnologia
180,J37753358,Hnos Esparza S.Coop.,SANA,Tecnologia
181,G43513553,Logística Marcos S.Coop.,SANA,Comercio
182,E24319594,Pera y asociados S.A.,SANA,Construccion
183,C99043272,Jenny Gallego Peña S.A.,SANA,Transporte
184,A82675403,Hotel Perelló S.A.,SANA,Construccion
185,V59821155,Alimentación Tolosa y asociados S.L.N.E,SANA,Comercio
186,V87110685,Gibert & Asociados S.Coop.,SANA,Comercio
187,V34544645,Inmobiliaria ZZR S.L.,SANA,Comercio
188,R39808788,Diego y asociados S.A.,SANA,Tecnologia
189,B80563016,Hotel VSWL S.A.,SANA,Transporte
190,V82580645,Hnos Barral S.A.,SANA,Construccion
191,W56612335,Fábrica Leiva & Asociados S.A.,SANA,Transporte
192,F71363812,Benavent y asociados S.Coop.,SANA,Construccion
193,W71749629,Instalaciones Díaz y asociados S.Com.,SANA,Comercio
194,A11586450,Íñigo Giménez Torrijos S.A.,SANA,Tecnologia
195,R87981603,Ruano & Asociados S.A.,SANA,Construccion
196,P58533442,Industrias EGZB S.L.,SANA,Comercio
197,F83626933,Fábrica Clavero & Asociados S.L.,FRAUDE_CARRUSEL,Comercio
198,H46159360,Inmobiliaria Fernandez & Asociados S.L.,SANA,Transporte
199,P59113508,Comercial del Sur S.Com.,SANA,Tecnologia
200,V66900650,Desarrollo Álvaro y asociados S.Com.,SANA,Tecnologia
201,S59970552,Consultoría Medina & Asociados S.A.,SANA,Comercio
202,R47531240,Arnaiz & Asociados S.Com.,SANA,Transporte
203,F86693314,Naranjo y asociados S.Coop.,SANA,Tecnologia
204,H23404289,Hermanos Gras S.L.N.E,SANA,Comercio
205,H84536479,Minería Porcel S.A.,SANA,Transporte
206,R36315159,Construcción DY S.L.,SANA,Tecnologia
207,E73483243,Alvarado y Elías S.Coop.,SANA,Construccion
208,F66575546,Comercializadora Pont & Asociados S.L.U.,SANA,Transporte
209,E94644676,Grupo Dueñas S.A.,FRAUDE_CARRUSEL,Comercio
210,V50269906,Acevedo & Asociados S.Coop.,SANA,Comercio
211,B63472598,Comercializadora Cortés & Asociados S.L.N.E,SANA,Construccion
212,F18057946,Gordillo y Sosa S.Com.,SANA,Tecnologia
213,J73960038,Banco Checa S.Coop.,SANA,Construccion
214,U54916840,Inocencio Soler Feliu S.A.,SANA,Comercio
215,Q58359530,Hermanos Galvez S.L.,SANA,Comercio
216,Q12662253,Grupo Conesa S.C.P,SANA,Transporte
217,D57122567,Alimentación Garzón y asociados S.A.,SANA,Tecnologia
218,F48199537,Familia Blázquez S.L.N.E,SANA,Comercio
219,P78510704,Industrias DUNO S.L.L.,SANA,Transporte
220,U20523679,Promociones Bernal y asociados S.L.N.E,SANA,Transporte
221,N72243750,Manufacturas VB S.Com.,FRAUDE_CARRUSEL,Tecnologia
222,F95977279,Soluciones CG S.L.,SANA,Comercio
223,S94728082,Adoración Villar Gálvez S.Com.,SANA,Transporte
224,C20618223,Tudela y Velázquez S.A.,SANA,Tecnologia
225,P40630893,Restauración Moraleda & Asociados S.Com.,SANA,Comercio
226,P97645934,Promociones Ponce S.Com.,SANA,Comercio
227,J91253395,Supermercados Espinosa y asociados S.Coop.,SANA,Transporte
228,J69713250,Banca Privada Falcó & Asociados S.L.,SANA,Comercio
229,W70436720,Comercial MAC S.L.,SANA,Transporte
230,F34680787,Minería Porcel & Asociados S.Coop.,FRAUDE_CARRUSEL,Construccion
231,E41491128,Hnos Barros S.A.,SANA,Comercio
232,C38262427,Inmobiliaria Globales S.L.,SANA,Tecnologia
233,R23825676,Acuña y Chamorro S.L.,SANA,Construccion
234,C73509922,Maestre & Asociados S.A.,SANA,Construccion
235,A63286118,Familia Pedraza S.A.,FRAUDE_CARRUSEL,Construccion
236,D45225746,Casal & Asociados S.L.N.E,SANA,Tecnologia
237,C97890153,Morán & Asociados S.L.L.,SANA,Transporte
238,N40783635,Restauración del Noroeste S.A.,SANA,Tecnologia
239,N69479985,Banca Privada Cortés S.A.D,SANA,Tecnologia
240,E80698159,Consultoría WDJ S.C.P,SANA,Tecnologia
241,A14718421,Desarrollo Torre S.Coop.,SANA,Comercio
242,P73908407,Talleres Pardo S.A.,SANA,Transporte
243,J83624500,Larrea & Asociados S.Com.,FRAUDE_MAQUILLAJE,Transporte
244,E82381952,Transportes BLWW S.L.N.E,SANA,Tecnologia
245,U94697764,Nicanor Maestre Atienza S.Com.,SANA,Transporte
246,W95870691,Ramirez y Goicoechea S.L.,SANA,Comercio
247,Q74646194,Hnos Guillén S.L.L.,SANA,Tecnologia
248,C69305486,Instalaciones EEP S.L.U.,SANA,Comercio
249,Q65325058,Restauración Maldonado S.Com.,SANA,Comercio
250,E50744867,Distribuciones Naranjo S.L.N.E,FRAUDE_CARRUSEL,Construccion
251,A80238316,Comercializadora Globales S.L.,FRAUDE_CARRUSEL,Tecnologia
252,Q48488577,Hnos Nadal S.L.,SANA,Transporte
253,A76025948,Despacho Integrales S.L.,SANA,Transporte
254,N11225756,Familia Carrillo S.L.L.,SANA,Transporte
255,N90128487,Grupo Lledó S.L.,SANA,Tecnologia
256,A83579795,Hermanos Amorós S.L.,SANA,Comercio
257,G65262252,Borrás y asociados S.L.,SANA,Transporte
258,R43540489,Anguita y Martinez S.L.L.,SANA,Tecnologia
259,R60782359,Ayuso y asociados S.C.P,SANA,Tecnologia
260,J20631350,Comercial Silva S.L.N.E,SANA,Transporte
261,H79338228,Inmobiliaria Internacionales S.Coop.,SANA,Comercio
262,N97034430,Fábrica Internacionales S.Com.,SANA,Comercio
263,S35233016,Otero & Asociados S.C.P,SANA,Construccion
264,F28337367,Servicios FX S.L.L.,SANA,Comercio
265,D95482292,Inversiones del Noroeste S.L.N.E,SANA,Transporte
266,U46525224,Anaya y Aguilera S.L.,SANA,Transporte
267,G53036072,Familia Cazorla S.L.N.E,FRAUDE_MAQUILLAJE,Construccion
268,E16661503,María Vidal Ruano S.Com.,SANA,Construccion
269,F23726915,Infraestructuras Hervás S.L.N.E,SANA,Comercio
270,J26782477,Desarrollo del Mediterráneo S.L.,SANA,Transporte
271,A41247296,Sarita Egea Valverde S.A.,SANA,Construccion
272,E11976335,Restauración del Levante S.L.N.E,SANA,Transporte
273,G55890766,Hermanos Cabrera S.L.L.,SANA,Transporte
274,N76893545,Pintor y Cifuentes S.L.,SANA,Comercio
275,U14259684,Instalaciones ZMC S.L.,SANA,Comercio
276,C29607576,Logística Inteligentes S.Coop.,SANA,Construccion
277,J62669959,Crespo & Asociados S.A.D,SANA,Construccion
278,V34374441,Villanueva y Salcedo S.Coop.,SANA,Tecnologia
279,J61214452,Grupo Gimeno S.Coop.,SANA,Construccion
280,D43415162,Instalaciones IGB S.Coop.,SANA,Transporte
281,U43173547,Distribuciones YQ S.Coop.,SANA,Construccion
282,G71852177,Transportes RF S.A.,SANA,Construccion
283,W99390064,Tecnologías Mateo & Asociados S.L.N.E,FRAUDE_MAQUILLAJE,Tecnologia
284,V62227199,Distribuciones RT S.A.T.,FRAUDE_MAQUILLAJE,Comercio
285,P31288466,Loreto Castillo Torrens S.Com.,SANA,Construccion
286,W26393556,Despacho del Levante S.L.,SANA,Comercio
287,V95700705,Aranda y asociados S.L.L.,SANA,Comercio
288,G58375646,Alimentación RLPK S.C.P,SANA,Construccion
289,G25157001,Tiburcio Fernández Anglada S.L.,SANA,Tecnologia
290,S53555463,Servicios XM S.Coop.,SANA,Construccion
291,F47057520,Instalaciones HMR S.Coop.,SANA,Construccion
292,R42626898,Grupo Oliver S.L.,SANA,Construccion
293,B87990837,Banca Privada Estevez S.L.L.,SANA,Transporte
294,E59848284,Hidalgo y Goñi S.A.,SANA,Construccion
295,H31165928,Blanca y Caparrós S.Com.,SANA,Transporte
296,C93033107,Goicoechea y Alcalde S.A.,SANA,Comercio
297,B18022882,Cirino Amorós Colom S.Com.,SANA,Comercio
298,E81988124,Finanzas Sebastián S.L.L.,SANA,Construccion
299,E75477163,Construcción CD S.L.L.,SANA,Tecnologia
300,P84940527,Lourdes Zamora Amor S.A.,FRAUDE_CARRUSEL,Comercio
301,U35899364,Transportes GRC S.L.,SANA,Construccion
302,R58072427,Marisa Galan Salvà S.L.,SANA,Tecnologia
303,J15300062,Tejedor & Asociados S.L.,SANA,Transporte
304,U85031037,Cervera y Salmerón S.Com.,SANA,Comercio
305,V35471281,Benítez y Roca S.Coop.,SANA,Tecnologia
306,Q53443711,María Donaire Mateos S.L.N.E,SANA,Transporte
307,J90353461,Familia Olivé S.L.N.E,SANA,Tecnologia
308,C81288059,Hotel Lastra S.A.D,SANA,Tecnologia
309,U49684512,Clementina Cortina Duran S.Coop.,SANA,Comercio
310,Q70945449,Hotel Porta S.A.,SANA,Construccion
311,W60874366,Mate & Asociados S.A.,SANA,Tecnologia
312,A93179370,Transportes Integrales S.L.,SANA,Comercio
313,H53042832,Restauración Ballesteros S.A.,SANA,Construccion
314,R35483846,Farmaceútica Valderrama y asociados S.A.,SANA,Transporte
315,E92280734,Despacho Ibérica S.L.,SANA,Comercio
316,P65003032,Pablo y Colom S.A.,SANA,Comercio
317,D22919301,Tecnologías Leal S.Coop.,SANA,Construccion
318,B27418007,Amador & Asociados S.A.,SANA,Tecnologia
319,B37122588,Minería XBAS S.L.,SANA,Construccion
320,V35718350,Soluciones PWRI S.L.,SANA,Construccion
321,B86639957,Arenas & Asociados S.A.T.,SANA,Transporte
322,V80574548,Hotel VWPJ S.L.L.,SANA,Comercio
323,B59171204,Promociones Gaya y asociados S.Com.,SANA,Tecnologia
324,C11756387,Restauración Doménech & Asociados S.Com.,SANA,Tecnologia
325,V20731620,Folch y asociados S.C.P,SANA,Transporte
326,B58442674,Anglada y Vicente S.Coop.,SANA,Transporte
327,Q17824896,Soluciones KM S.Coop.,SANA,Comercio
328,W15456373,Abad y Vera S.L.L.,SANA,Construccion
329,N20460308,Aurora Pino Sebastián S.A.,SANA,Tecnologia
330,W23035125,Grupo Vazquez S.L.N.E,SANA,Construccion
331,H81358338,Distribuciones Contreras S.A.,SANA,Transporte
332,G35920053,Grupo Olmedo S.L.N.E,SANA,Tecnologia
333,F84950330,Alimentación Elorza S.A.,SANA,Transporte
334,D95714702,Valderrama & Asociados S.A.,SANA,Comercio
335,U99287317,Industrias Espada S.L.N.E,SANA,Transporte
336,D32388767,Supermercados Aznar S.L.N.E,SANA,Tecnologia
337,R77738718,Soluciones Prieto S.L.,SANA,Comercio
338,F81658908,Grupo Barceló S.L.N.E,SANA,Transporte
339,Q52299387,Transportes Bauzà y asociados S.L.,FRAUDE_MAQUILLAJE,Comercio
340,Q65343779,Hotel DSXB S.L.N.E,SANA,Transporte
341,P91659860,Instalaciones del Levante S.L.U.,SANA,Tecnologia
342,G60340113,Gargallo y Pedrosa S.L.N.E,FRAUDE_CARRUSEL,Comercio
343,Q70720566,Desarrollo Peñalver S.L.N.E,FRAUDE_CARRUSEL,Transporte
344,R10026256,Alimentación NBAL S.A.,SANA,Construccion
345,N89961933,Ortiz y Calatayud S.L.N.E,SANA,Construccion
346,W28130896,Herrero y Nebot S.Coop.,SANA,Comercio
347,A50310141,Familia Borrás S.L.,SANA,Tecnologia
348,G52265790,Galán & Asociados S.Com.,SANA,Construccion
349,J84311410,Suministros Antúnez y asociados S.A.,SANA,Tecnologia
350,D15064880,Inmobiliaria Noriega S.L.,SANA,Transporte
351,Q30952341,Supermercados Cuéllar S.L.N.E,SANA,Tecnologia
352,J59269031,Esteve y asociados S.Coop.,FRAUDE_CARRUSEL,Tecnologia
353,H44392465,Instalaciones XHL S.L.,SANA,Comercio
354,C86569490,Iniesta y Bosch S.A.,SANA,Transporte
355,G20361818,Farmaceútica Urrutia & Asociados S.Coop.,SANA,Comercio
356,V33206579,Franco & Asociados S.Coop.,SANA,Transporte
357,D89890579,Grupo Castell S.L.,FRAUDE_MAQUILLAJE,Comercio
358,B87347488,Desarrollo GBFM S.L.,FRAUDE_MAQUILLAJE,Transporte
359,C17505818,Glauco Pozo Narváez S.Com.,SANA,Comercio
360,Q68291349,Fito Tomé Perea S.Com.,SANA,Transporte
361,D40429530,Banco Internacionales S.L.,SANA,Construccion
362,R17264930,Gisbert y asociados S.Coop.,SANA,Comercio
363,W15527388,Inversiones Inteligentes S.A.,SANA,Comercio
364,E53866598,Alsina y asociados S.A.,SANA,Tecnologia
365,E16780654,Servicios Benavides y asociados S.Com.,SANA,Transporte
366,U89877290,Despacho Uría & Asociados S.L.U.,SANA,Construccion
367,H67973424,Consultoría Domínguez y asociados S.Coop.,SANA,Comercio
368,R29865888,Instalaciones ETLS S.L.,SANA,Tecnologia
369,P21079017,Instalaciones Tenorio S.Com.,SANA,Transporte
370,B83571770,Minería Salcedo S.Coop.,SANA,Transporte
371,J21419108,Grupo Donaire S.Coop.,SANA,Transporte
372,W68316409,Hotel Saura S.A.T.,SANA,Tecnologia
373,E74548325,Yáñez y asociados S.L.N.E,SANA,Tecnologia
374,V63058791,Ileana Arnau Acosta S.Coop.,FRAUDE_CARRUSEL,Tecnologia
375,W43050557,Promociones Vera & Asociados S.Com.,SANA,Tecnologia
376,C45736421,Manola Acero Ureña S.Coop.,SANA,Transporte
377,P87311859,Hotel YOM S.A.,SANA,Construccion
378,D65510043,Armida Guillén Miguel S.L.,SANA,Transporte
379,Q56749089,Ropero y asociados S.C.P,SANA,Tecnologia
380,P56241350,Bayón y asociados S.L.N.E,SANA,Construccion
381,N32717056,Espiridión Villar Barros S.Com.,SANA,Comercio
382,U93642093,Alimentación GOX S.L.L.,FRAUDE_MAQUILLAJE,Tecnologia
383,U16023362,Salvà y Leiva S.A.,SANA,Tecnologia
384,G60173377,Minería EWB S.Com.,SANA,Tecnologia
385,C25082279,Industrias ABMG S.C.P,SANA,Construccion
386,H93349536,Manufacturas Tovar S.L.,SANA,Tecnologia
387,N11843251,Castillo y asociados S.A.,SANA,Comercio
388,D50952251,Fábrica XNRR S.Coop.,SANA,Transporte
389,V13053200,Logística FC S.L.,SANA,Comercio
390,G82209870,Suministros TNP S.A.,FRAUDE_CARRUSEL,Tecnologia
391,G83339816,Banco Falcón S.A.,SANA,Comercio
392,V93623280,Jacinta Piñol Esteve S.A.,SANA,Tecnologia
393,A60547291,Mariano Benítez Huguet S.Coop.,SANA,Construccion
394,J32859916,Hnos Rivera S.L.L.,SANA,Construccion
395,N36936968,Farmaceútica SL S.A.,SANA,Comercio
396,B72405984,Hnos Cortes S.Coop.,SANA,Construccion
397,C62163068,Comercial Borja S.C.P,SANA,Comercio
398,Q24480943,Álvaro Cánovas Pinto S.A.,SANA,Construccion
399,N97162488,Soluciones KIXL S.L.N.E,SANA,Transporte
400,H61096850,Distribuciones Buendía S.A.,SANA,Construccion
401,P75050252,Bonilla y Salgado S.Coop.,SANA,Construccion
402,F36692577,Infraestructuras del Sur S.L.L.,SANA,Transporte
403,A15335477,Transportes Paniagua & Asociados S.Coop.,SANA,Tecnologia
404,W50926679,Compañía Españolas S.Coop.,SANA,Comercio
405,V62801229,Servicios del Norte S.Coop.,SANA,Tecnologia
406,A56544010,Despacho Palomar & Asociados S.Com.,SANA,Comercio
407,Q93917080,Despacho Maestre & Asociados S.A.,SANA,Comercio
408,H77276832,Inversiones Donoso S.Coop.,SANA,Comercio
409,B93992429,Comercial EA S.L.,SANA,Comercio
410,R13954845,Promociones Anaya & Asociados S.Coop.,FRAUDE_MAQUILLAJE,Comercio
411,H30361927,Suministros del Noroeste S.A.,SANA,Comercio
412,R98171888,Desarrollo Avanzadas S.L.N.E,SANA,Tecnologia
413,C61298971,Duilio Juárez Beltran S.C.P,SANA,Tecnologia
414,S42260681,Acevedo y Gutierrez S.L.N.E,SANA,Tecnologia
